Kegg_ID	ModelSeed_ID	formula	charge
C11806	cpd08610	C16H15F2N3O4S	0
C11807	cpd08611	C21H22N2O2	0
C11808	cpd08612	C21H24N2O3	0
C11809	cpd08613	C21H27N2O3	1
C11810	cpd08614	C19H25N2O2	1
C11811	cpd08615	C5H10O8P2	-2
C11812	cpd08616	C22H27N2O4	1
C11813	cpd08617	C24H29NO10	0
C11814	cpd08618	C24H29NO10	0
C11815	cpd08619	C25H31NO10	0
C11816	cpd08620	C19H28NO3	1
C11817	cpd08621	C29H39N3O2	2
C11818	cpd08622	C20H21NO4	0
C11820	cpd08624	C10H13NO3	0
C11821	cpd08625	C5H4N4O4	0
C11822	cpd08626	C3H5NO3	0
C11823	cpd08627	C3H2O2R	-1
C11825	cpd08628	C21H34O2	0
C11829	cpd08629	C35H34MgN4O5	0
C11830	cpd08630	C35H31MgN4O5	-1
C11831	cpd08631	C35H29MgN4O5	-1
C11832	cpd08632	C35H31MgN4O5	-1
C11833	cpd08633	C8H8NO5	-1
C11834	cpd08634	C14H14O2	0
C11837	cpd08635	C8H13NO3	0
C11839	cpd08637	C10H15NO4	0
C11838	cpd08638	C5H8O4	0
C11841	cpd08639	C12H19NO4	0
C11842	cpd08640	C8H13NO4	0
C11843	cpd08641	C8H14NO4	-1
C11844	cpd08642	C11H19NO3	0
C11845	cpd08643	C18H31NO4	0
C11846	cpd08644	C8H12N2O2	0
C11847	cpd08645	C14H16N2O2	0
C11848	cpd08646	C16H21NO2	0
C11849	cpd08647	C17H34O3	0
C11850	cpd08648	C55H71MgN4O5	1
C11851	cpd08649	C55H75N4O6Zn	1
C11853	cpd08651	C20H27O4	-1
C11854	cpd08652	C19H20O5	-2
C11855	cpd08653	C19H20O6	-2
C11856	cpd08654	C19H21O6	-1
C11857	cpd08655	C20H26O4	-2
C11858	cpd08656	C20H26O5	-2
C11859	cpd08657	C20H26O6	-2
C11860	cpd08658	C20H26O5	-2
C11861	cpd08659	C20H24O5	-2
C11862	cpd08660	C20H24O6	-2
C11863	cpd08661	C19H23O4	-1
